sentence,relation,entities,sentence_no_tags
The rescue teams found 17 of the 25 crew thrown into the sea when the tanker caught <e1>fire</e1> after the <e2>collision</e2>.,1,"['fire', 'collision']",The rescue teams found 17 of the 25 crew thrown into the sea when the tanker caught fire after the collision.
"<e1>Trauma</e1> to the face and nasal area causes <e2>nosebleeds</e2>, such as getting punched or violently slapped.",0,"['Trauma', 'nosebleeds']","Trauma to the face and nasal area causes nosebleeds, such as getting punched or violently slapped."
Some comments from readers highlight the <e1>frustration</e1> and inconvenience caused by the 3-pin <e2>system</e2>.,1,"['frustration', 'system']",Some comments from readers highlight the frustration and inconvenience caused by the 3-pin system.
"Pneumonia is an <e1>inflammation</e1> of the lungs caused by bacteria, viruses, or chemical <e2>irritants</e2>.",1,"['inflammation', 'irritants']","Pneumonia is an inflammation of the lungs caused by bacteria, viruses, or chemical irritants."
The <e1>blockages</e1> are caused by a build-up of <e2>fatty plaque</e2> along the artery walls.,1,"['blockages', 'fatty plaque']",The blockages are caused by a build-up of fatty plaque along the artery walls.
The <e1>demise</e1> of the bees has been caused by the globalization of <e2>commerce</e2>.,1,"['demise', 'commerce']",The demise of the bees has been caused by the globalization of commerce.
Staphylococcal <e1>food poisoning</e1> is caused by <e2>eating</e2> food contaminated with Staphylococcus aureus.,1,"['food poisoning', 'eating']",Staphylococcal food poisoning is caused by eating food contaminated with Staphylococcus aureus.
"<e1>Properties</e1> of the soils developed from the <e2>amphibolites</e2> of Santiago-Ponte Ulla, Spain.",0,"['Properties', 'amphibolites']","Properties of the soils developed from the amphibolites of Santiago-Ponte Ulla, Spain."
"Solar disturbances such as flares, prominences, and sunspots increase the amount of <e1>radiation</e1> from the <e2>sun</e2>.",1,"['radiation', 'sun']","Solar disturbances such as flares, prominences, and sunspots increase the amount of radiation from the sun."
"The results support the theoretical model conceptualizing alcohol use and misuse as being the product of <e1>stress</e1> caused by constraints and <e2>resources</e2> brought to bear simultaneously by agent personality, structures of daily life, and macro social structures.",1,"['stress', 'resources']","The results support the theoretical model conceptualizing alcohol use and misuse as being the product of stress caused by constraints and resources brought to bear simultaneously by agent personality, structures of daily life, and macro social structures."
"A significant portion of head and neck <e1>cancers</e1>, anal cancers, and cancer of the larynx are caused by the human <e2>papillomavirus</e2>.",1,"['cancers', 'papillomavirus']","A significant portion of head and neck cancers, anal cancers, and cancer of the larynx are caused by the human papillomavirus."
"<e1>Overpopulation</e1> and poverty cause <e2>tension</e2> not only within communities and countries, but throughout the world.",0,"['Overpopulation', 'tension']","Overpopulation and poverty cause tension not only within communities and countries, but throughout the world."
The only <e1>light</e1> in the house was radiating from the TV <e2>screen</e2>.,1,"['light', 'screen']",The only light in the house was radiating from the TV screen.
"In economic terms, the ecological <e1>catastrophe</e1> caused by the Prestige oil <e2>spill</e2> is comparable with that caused by the Exxon Valdez.",1,"['catastrophe', 'spill']","In economic terms, the ecological catastrophe caused by the Prestige oil spill is comparable with that caused by the Exxon Valdez."
"Biomagnetic Research, in Arizona, makes a range of devices for neutralizing <e1>radiation</e1> from <e2>computers</e2> and other sources.",1,"['radiation', 'computers']","Biomagnetic Research, in Arizona, makes a range of devices for neutralizing radiation from computers and other sources."
The family members also get great <e1>joy</e1> from <e2>dogs</e2> doing tricks and great for family activities.,1,"['joy', 'dogs']",The family members also get great joy from dogs doing tricks and great for family activities.
The US forces have withdrawn due to the <e1>damage</e1> caused by the eruption and the <e2>typhoon</e2>.,1,"['damage', 'typhoon']",The US forces have withdrawn due to the damage caused by the eruption and the typhoon.
"The <e1>riot</e1> resulted in the <e2>deaths</e2> of 196 people, and led to a major reform in the country's economic policy favouring the Malays.",0,"['riot', 'deaths']","The riot resulted in the deaths of 196 people, and led to a major reform in the country's economic policy favouring the Malays."
"Canine <e1>flea</e1> <e2>infestation</e2> is caused by fleas, which are small, wingless blood-sucking insects.",0,"['flea', 'infestation']","Canine flea infestation is caused by fleas, which are small, wingless blood-sucking insects."
Stella Liebeck is the woman who sued McDonalds after she suffered a serious <e1>burn</e1> after the <e2>spilling</e2> of a cup of coffee on her lap.,1,"['burn', 'spilling']",Stella Liebeck is the woman who sued McDonalds after she suffered a serious burn after the spilling of a cup of coffee on her lap.
"The <e1>bending</e1> caused a <e2>fracture</e2> on the tension side of the test specimen, but the UHMP fiber ribbon held the fractured parts together.",0,"['bending', 'fracture']","The bending caused a fracture on the tension side of the test specimen, but the UHMP fiber ribbon held the fractured parts together."
"Following a decision made by the Typhoon Committee in cooperation with United Nations agencies and the League of Red Crescent Societies, ESCAP compiles every year region-wide statistics and reports on the <e1>harm</e1> caused by tropical cyclones, <e2>floods</e2>, droughts and other severe weather events.",1,"['harm', 'floods']","Following a decision made by the Typhoon Committee in cooperation with United Nations agencies and the League of Red Crescent Societies, ESCAP compiles every year region-wide statistics and reports on the harm caused by tropical cyclones, floods, droughts and other severe weather events."
The <e1>influx</e1> caused a further <e2>drain</e2> on the country's already scanty resources.,0,"['influx', 'drain']",The influx caused a further drain on the country's already scanty resources.
This ingredient also repairs the <e1>damage</e1> that has been caused by the <e2>sun</e2>.,1,"['damage', 'sun']",This ingredient also repairs the damage that has been caused by the sun.
"Apparently, beyond the <e1>damage</e1> caused by the smoke and the <e2>water</e2>, the structure of the store itself it was not overly damaged.",1,"['damage', 'water']","Apparently, beyond the damage caused by the smoke and the water, the structure of the store itself it was not overly damaged."
"Individuals with this change, or with similar mutations in the USH2A gene, develop moderate to severe hearing loss and retinitis pigmentosa, a <e1>disorder</e1> that results in <e2>loss</e2> of vision.",0,"['disorder', 'loss']","Individuals with this change, or with similar mutations in the USH2A gene, develop moderate to severe hearing loss and retinitis pigmentosa, a disorder that results in loss of vision."
The Germanic <e1>migrations</e1> of the fifth century were triggered by the <e2>destruction</e2> of the Gothic kingdoms by the Huns in 372-375.,1,"['migrations', 'destruction']",The Germanic migrations of the fifth century were triggered by the destruction of the Gothic kingdoms by the Huns in 372-375.
The reference <e1>signal</e1> was generated from an auxiliary <e2>photomultiplier</e2> (RCA 1P28) with a quantum counter.,1,"['signal', 'photomultiplier']",The reference signal was generated from an auxiliary photomultiplier (RCA 1P28) with a quantum counter.
The electromagnetic (EM) <e1>radiation</e1> from the <e2>sun</e2> arrives mostly in the form of visible and infrared wavelengths.,1,"['radiation', 'sun']",The electromagnetic (EM) radiation from the sun arrives mostly in the form of visible and infrared wavelengths.
The <e1>pseudolesion</e1> was caused by <e2>drainage</e2> of the paraumbilical vein.,1,"['pseudolesion', 'drainage']",The pseudolesion was caused by drainage of the paraumbilical vein.
"User-edited article about Salmonellosis, the <e1>infection</e1> caused by Salmonella <e2>bacteria</e2>, leading to diarrhea, fever, vomiting, and abdominal cramps.",1,"['infection', 'bacteria']","User-edited article about Salmonellosis, the infection caused by Salmonella bacteria, leading to diarrhea, fever, vomiting, and abdominal cramps."
This paper presents the results of a survey of the building <e1>damage</e1> caused by the ash fall from the cataclysmic <e2>eruption</e2> of Mount Pinatubo.,1,"['damage', 'eruption']",This paper presents the results of a survey of the building damage caused by the ash fall from the cataclysmic eruption of Mount Pinatubo.
"The <e1>earthquake</e1> caused the <e2>failures</e2> of the electric power system, the water supply system, the sewer system, the telephone and telegraph systems.",0,"['earthquake', 'failures']","The earthquake caused the failures of the electric power system, the water supply system, the sewer system, the telephone and telegraph systems."
"The <e1>guy</e1> put up a <e2>fight</e2>, so the mugger takes out a gun and shoots him, point blank.",0,"['guy', 'fight']","The guy put up a fight, so the mugger takes out a gun and shoots him, point blank."
<e1>Boils</e1> or furuncles are caused by staphylococcal bacterial <e2>infections</e2> of the hair follicles.,1,"['Boils', 'infections']",Boils or furuncles are caused by staphylococcal bacterial infections of the hair follicles.
Cervical <e1>cancer</e1> is caused by <e2>infection</e2> with the human papillomavirus (HPV) and is one of the most common cancers in women in developing countries.,1,"['cancer', 'infection']",Cervical cancer is caused by infection with the human papillomavirus (HPV) and is one of the most common cancers in women in developing countries.
"Notwithstanding problems associated with screening, many of those <e1>cancers</e1> were caused by <e2>radiation exposures</e2> shortly after the accident.",1,"['cancers', 'radiation exposures']","Notwithstanding problems associated with screening, many of those cancers were caused by radiation exposures shortly after the accident."
This year's Nobel Laureates in Physiology or Medicine made the remarkable and unexpected discovery that inflammation in the stomach (gastritis) as well as ulceration of the stomach or duodenum (peptic ulcer disease) is the result of an <e1>infection</e1> of the stomach caused by the <e2>bacterium</e2> Helicobacter pylori.,1,"['infection', 'bacterium']",This year's Nobel Laureates in Physiology or Medicine made the remarkable and unexpected discovery that inflammation in the stomach (gastritis) as well as ulceration of the stomach or duodenum (peptic ulcer disease) is the result of an infection of the stomach caused by the bacterium Helicobacter pylori.
"A thorough oral examination, which includes dental X-rays, determines that the <e1>toothache</e1> is coming from a <e2>jaw problem</e2>.",1,"['toothache', 'jaw problem']","A thorough oral examination, which includes dental X-rays, determines that the toothache is coming from a jaw problem."
"Also, we note the <e1>convergence</e1> over the lakes caused by the land breeze <e2>circulation</e2>.",1,"['convergence', 'circulation']","Also, we note the convergence over the lakes caused by the land breeze circulation."
"The severe <e1>recession</e1> triggered by the global <e2>crisis</e2> has bottomed out, thanks in part to a rebound in exports, although production remains the same.",1,"['recession', 'crisis']","The severe recession triggered by the global crisis has bottomed out, thanks in part to a rebound in exports, although production remains the same."
"In the 1998 crisis, capital <e1>flight</e1> caused a <e2>crisis</e2> on the currency markets, as the removal of funds from Russia necessarily entailed the conversion of rubles to dollars.",0,"['flight', 'crisis']","In the 1998 crisis, capital flight caused a crisis on the currency markets, as the removal of funds from Russia necessarily entailed the conversion of rubles to dollars."
I used to get terrible <e1>headaches</e1> from sinus and <e2>infections</e2> that resulted in taking antibiotics a few times a year.,1,"['headaches', 'infections']",I used to get terrible headaches from sinus and infections that resulted in taking antibiotics a few times a year.
The <e1>grief</e1> from <e2>infertility</e2> is at times so overwhelming that no one person can provide all the comfort and support that his or her partner needs.,1,"['grief', 'infertility']",The grief from infertility is at times so overwhelming that no one person can provide all the comfort and support that his or her partner needs.
"Monilia, candida or yeast <e1>infections</e1> are caused by various species of <e2>candida</e2>, especially Candida albicans, and are very common in babies and young children.",1,"['infections', 'candida']","Monilia, candida or yeast infections are caused by various species of candida, especially Candida albicans, and are very common in babies and young children."
"The elderly found it hard to cope with the high heat-humidity, which often causes nausea and <e1>dizziness</e1> from exhaustion and <e2>dehydration</e2>.",1,"['dizziness', 'dehydration']","The elderly found it hard to cope with the high heat-humidity, which often causes nausea and dizziness from exhaustion and dehydration."
The <e1>earthquake</e1> caused a massive <e2>avalanche</e2> on the northern slope of Mount Huascar.,0,"['earthquake', 'avalanche']",The earthquake caused a massive avalanche on the northern slope of Mount Huascar.
The JFK baggage system <e1>malfunction</e1> caused <e2>delays</e2> for some flights and caused some passengers to simply travel without their things.,0,"['malfunction', 'delays']",The JFK baggage system malfunction caused delays for some flights and caused some passengers to simply travel without their things.
"Small <e1>particles</e1>, grime and dirt cause friction and microscopic <e2>scratches</e2> that over time destroy the performance of equipment.",0,"['particles', 'scratches']","Small particles, grime and dirt cause friction and microscopic scratches that over time destroy the performance of equipment."
"When a <e1>tsunami</e1> is generated by a strong offshore <e2>earthquake</e2>, its first waves would reach the outer coast minutes after the ground stops shaking.",1,"['tsunami', 'earthquake']","When a tsunami is generated by a strong offshore earthquake, its first waves would reach the outer coast minutes after the ground stops shaking."
"A deposit ages, soil formation, <e1>weathering</e1>, diagenetic processes, and earthquake shaking lead to consolidation and <e2>cementation</e2> of the sediment.",0,"['weathering', 'cementation']","A deposit ages, soil formation, weathering, diagenetic processes, and earthquake shaking lead to consolidation and cementation of the sediment."
"The cheering and <e1>screaming</e1> after the <e2>victory</e2> had hardly died down when Marilyn Kelly proclaimed ""Party at my house!"".",1,"['screaming', 'victory']","The cheering and screaming after the victory had hardly died down when Marilyn Kelly proclaimed ""Party at my house!""."
You counted almost thirty-three honorable punches and kicks thrown in this clip of little kid <e1>screaming</e1> after the terrible <e2>fight</e2>.,1,"['screaming', 'fight']",You counted almost thirty-three honorable punches and kicks thrown in this clip of little kid screaming after the terrible fight.
<e1>Lesions</e1> restricted to the rear portion of the medial part of the precentral gyrus caused a contralateral predominantly distal <e2>leg weakness</e2>.,0,"['Lesions', 'leg weakness']",Lesions restricted to the rear portion of the medial part of the precentral gyrus caused a contralateral predominantly distal leg weakness.
One of the largest Internet piracy rings in the world has been shut down in a police <e1>operation</e1> that resulted in the <e2>arrest</e2> of 181 people.,0,"['operation', 'arrest']",One of the largest Internet piracy rings in the world has been shut down in a police operation that resulted in the arrest of 181 people.
DOD/USAF/AFRCC initiated Federal SAR response activities for <e1>incidents</e1> that result in aeronautical <e2>distress</e2>.,0,"['incidents', 'distress']",DOD/USAF/AFRCC initiated Federal SAR response activities for incidents that result in aeronautical distress.
"Pavlov-like, looking at the picture aids ""let-down,"" the <e1>release</e1> of milk normally triggered by the <e2>presence</e2> of the baby, its touch, its cry.",1,"['release', 'presence']","Pavlov-like, looking at the picture aids ""let-down,"" the release of milk normally triggered by the presence of the baby, its touch, its cry."
The <e1>inspiration</e1> for the multi-touch technology came from a decidedly non-digital <e2>event</e2>.,1,"['inspiration', 'event']",The inspiration for the multi-touch technology came from a decidedly non-digital event.
Raj driven to <e1>rage</e1> after <e2>reading</e2> about yet another weirdly spelled Web 2.0 company is struggling on TechCrunch.,1,"['rage', 'reading']",Raj driven to rage after reading about yet another weirdly spelled Web 2.0 company is struggling on TechCrunch.
The team prepared GIS precipitation and contour maps of the area (approximately 777 square miles) depicting the landforms and identifying the <e1>flooding</e1> and landslides caused by the <e2>rainfall</e2>.,1,"['flooding', 'rainfall']",The team prepared GIS precipitation and contour maps of the area (approximately 777 square miles) depicting the landforms and identifying the flooding and landslides caused by the rainfall.
"The 1906 San Francisco <e1>earthquake</e1> was caused by a <e2>rupture</e2> on the San Andreas Fault, a continental transform fault that forms part of the boundary between the Pacific Plate and the North American Plate.",1,"['earthquake', 'rupture']","The 1906 San Francisco earthquake was caused by a rupture on the San Andreas Fault, a continental transform fault that forms part of the boundary between the Pacific Plate and the North American Plate."
"The <e1>grief</e1> from sudden <e2>death</e2> is completely different from expected death, when families have time to prepare and say goodbye.",1,"['grief', 'death']","The grief from sudden death is completely different from expected death, when families have time to prepare and say goodbye."
The <e1>wounds</e1> caused by the scourging and the <e2>thorns</e2> are almost invisible.,1,"['wounds', 'thorns']",The wounds caused by the scourging and the thorns are almost invisible.
"The <e1>war</e1> was caused by the expansionist <e2>desires</e2> of Hitler, Mussolini and the Japanese imperialists.",1,"['war', 'desires']","The war was caused by the expansionist desires of Hitler, Mussolini and the Japanese imperialists."
<e1>Osteoporosis</e1> is caused by a sharp <e2>decrease</e2> in estrogen levels that leads to an increased rate of bone remodeling.,1,"['Osteoporosis', 'decrease']",Osteoporosis is caused by a sharp decrease in estrogen levels that leads to an increased rate of bone remodeling.
The economic <e1>collapse</e1> was caused by <e2>consumers</e2> buying mortgages they couldn't afford and the housing collapse.,1,"['collapse', 'consumers']",The economic collapse was caused by consumers buying mortgages they couldn't afford and the housing collapse.
"Convulsions that occur after DTaP are usually not caused directly by the vaccine, but by a <e1>fever</e1>, which in turn was triggered by the <e2>vaccine</e2>.",1,"['fever', 'vaccine']","Convulsions that occur after DTaP are usually not caused directly by the vaccine, but by a fever, which in turn was triggered by the vaccine."
"To determine, once and for all, how the <e1>manakin</e1> was making its bizarre <e2>sounds</e2>, Bostwick and colleagues decided to take feather samples.",1,"['manakin', 'sounds']","To determine, once and for all, how the manakin was making its bizarre sounds, Bostwick and colleagues decided to take feather samples."
Licenses and Permits are <e1>revenues</e1> from the <e2>selling</e2> of vendor and dog licenses and other items.,1,"['revenues', 'selling']",Licenses and Permits are revenues from the selling of vendor and dog licenses and other items.
"More than 4500 tons of nitrogen oxides annually -- a <e1>pollutant</e1> that causes smog, acid <e2>rain</e2>, and contributes to asthma attacks and other breathing problems.",0,"['pollutant', 'rain']","More than 4500 tons of nitrogen oxides annually -- a pollutant that causes smog, acid rain, and contributes to asthma attacks and other breathing problems."
<e1>Addiction</e1> and poverty lead to <e2>neglect</e2> and abuse.,0,"['Addiction', 'neglect']",Addiction and poverty lead to neglect and abuse.
The <e1>swelling</e1> of the vocal fold mucosa is caused by <e2>smoking</e2>.,1,"['swelling', 'smoking']",The swelling of the vocal fold mucosa is caused by smoking.
"In conclusion, <e1>incubation</e1> of the aorta produces a specific <e2>reduction</e2> in agonist-evoked contraction.",0,"['incubation', 'reduction']","In conclusion, incubation of the aorta produces a specific reduction in agonist-evoked contraction."
"The <e1>high humidity</e1> caused by the <e2>rainfall</e2> damaged the seed of PU already mature while the good soil moisture allowed the seed of SO, TO and OO to fill better.",1,"['high humidity', 'rainfall']","The high humidity caused by the rainfall damaged the seed of PU already mature while the good soil moisture allowed the seed of SO, TO and OO to fill better."
"First, the H5N1 <e1>virus</e1> has caused by far the greatest number of human cases of very severe <e2>disease</e2> and the greatest number of deaths.",0,"['virus', 'disease']","First, the H5N1 virus has caused by far the greatest number of human cases of very severe disease and the greatest number of deaths."
"Many <e1>symptoms</e1> of fight or flight are caused by <e2>chemical changes</e2> in the body, but these two symptoms of are caused by chronic, rapid, shallow breathing.",1,"['symptoms', 'chemical changes']","Many symptoms of fight or flight are caused by chemical changes in the body, but these two symptoms of are caused by chronic, rapid, shallow breathing."
"The <e1>assassination</e1> resulted in extensive <e2>arrests</e2> of governmental, security, and criminal figures.",0,"['assassination', 'arrests']","The assassination resulted in extensive arrests of governmental, security, and criminal figures."
The <e1>storm</e1> resulted in 31 deaths and 2.5 million dollars <e2>damage</e2>.,0,"['storm', 'damage']",The storm resulted in 31 deaths and 2.5 million dollars damage.
Obama's economic <e1>policies</e1> are turning into a global <e2>disaster</e2>.,0,"['policies', 'disaster']",Obama's economic policies are turning into a global disaster.
"Thus, evaluating capital punishment as a form of retribution is reduced by Sellin to merely estimating the proportion of capital <e1>murders</e1> that result in <e2>execution</e2>.",0,"['murders', 'execution']","Thus, evaluating capital punishment as a form of retribution is reduced by Sellin to merely estimating the proportion of capital murders that result in execution."
<e1>Dizziness</e1> was caused by whiplash and head <e2>injury</e2>.,1,"['Dizziness', 'injury']",Dizziness was caused by whiplash and head injury.
The <e1>hull</e1> caused a <e2>scratch</e2> on the eye and that is why it's not healing all the way.,0,"['hull', 'scratch']",The hull caused a scratch on the eye and that is why it's not healing all the way.
The <e1>massacre</e1> resulted in a local and international <e2>onslaught</e2>.,0,"['massacre', 'onslaught']",The massacre resulted in a local and international onslaught.
"Both <e1>colds</e1> and flu cause <e2>inflammation</e2> of the mucous membranes (found in the nose, throat and mouth).",0,"['colds', 'inflammation']","Both colds and flu cause inflammation of the mucous membranes (found in the nose, throat and mouth)."
<e1>Constipation</e1> is the most common cause of <e2>abdominal pain</e2> in the pediatric population.,0,"['Constipation', 'abdominal pain']",Constipation is the most common cause of abdominal pain in the pediatric population.
Our country is resolving the war and <e1>poverty</e1> caused by the previous <e2>administration</e2>.,1,"['poverty', 'administration']",Our country is resolving the war and poverty caused by the previous administration.
The <e1>pain</e1> was radiating from the <e2>contraction</e2> out to my hips and back and then down both my legs all the way to my toes.,1,"['pain', 'contraction']",The pain was radiating from the contraction out to my hips and back and then down both my legs all the way to my toes.
"The fresh Muslim <e1>anger</e1> has been caused by the opening <e2>speech</e2> delivered by Pope Benedict XVI on September 12, 2006.",1,"['anger', 'speech']","The fresh Muslim anger has been caused by the opening speech delivered by Pope Benedict XVI on September 12, 2006."
<e1>Cold sores</e1> or fever blisters are caused by the herpes simplex <e2>virus</e2> and are usually relatively easy to identify.,1,"['Cold sores', 'virus']",Cold sores or fever blisters are caused by the herpes simplex virus and are usually relatively easy to identify.
The <e1>quarrel</e1> during the night of the crime was caused by <e2>money</e2>.,1,"['quarrel', 'money']",The quarrel during the night of the crime was caused by money.
<e1>Sinusitis</e1> is the inflammation of the sinuses caused by a bacterial <e2>infection</e2>.,1,"['Sinusitis', 'infection']",Sinusitis is the inflammation of the sinuses caused by a bacterial infection.
During the great <e1>fire</e1> of the <e2>aftershock</e2> in Tokyo in 1923 many Ginkgo trees survived while other trees died.,1,"['fire', 'aftershock']",During the great fire of the aftershock in Tokyo in 1923 many Ginkgo trees survived while other trees died.
The major <e1>product</e1> arose from an <e2>attack</e2> of aromatic compound.,1,"['product', 'attack']",The major product arose from an attack of aromatic compound.
<e1>Interpolation</e1> of the missing samples repairs the waveform with a minimum of <e2>distortion</e2>.,0,"['Interpolation', 'distortion']",Interpolation of the missing samples repairs the waveform with a minimum of distortion.
The worst <e1>devastation</e1> around us has been caused by the abject failure of religious <e2>education</e2>.,1,"['devastation', 'education']",The worst devastation around us has been caused by the abject failure of religious education.
"But among the heroin addicts especially, there is frequently a very severe depression, and <e1>depression</e1> is one of the main causes of <e2>suicide</e2>.",0,"['depression', 'suicide']","But among the heroin addicts especially, there is frequently a very severe depression, and depression is one of the main causes of suicide."
"We minimized excessive <e1>flows</e1> that cause flooding, bank <e2>erosion</e2>, and habitat loss.",0,"['flows', 'erosion']","We minimized excessive flows that cause flooding, bank erosion, and habitat loss."
"For example, <e1>measles</e1> and chickenpox cause <e2>rashes</e2> along with other symptoms.",0,"['measles', 'rashes']","For example, measles and chickenpox cause rashes along with other symptoms."
"However, the planning <e1>proposal</e1> has generated <e2>opposition</e2> from locals who have voiced fears over health issues.",0,"['proposal', 'opposition']","However, the planning proposal has generated opposition from locals who have voiced fears over health issues."
"Allaah decreed joy and sadness, because <e1>joy</e1> results in <e2>laughter</e2> and sadness leads to crying.",0,"['joy', 'laughter']","Allaah decreed joy and sadness, because joy results in laughter and sadness leads to crying."
<e1>Malaria</e1> is caused by infection with a <e2>parasite</e2> called Plasmodium that is transmitted by mosquitos.,1,"['Malaria', 'parasite']",Malaria is caused by infection with a parasite called Plasmodium that is transmitted by mosquitos.
The <e1>warmth</e1> was radiating from the <e2>fireplace</e2> to all corners of the room.,1,"['warmth', 'fireplace']",The warmth was radiating from the fireplace to all corners of the room.
The reports regarding the casualties has been announced and the <e1>loss</e1> that has been caused by the <e2>quake</e2> is being estimated.,1,"['loss', 'quake']",The reports regarding the casualties has been announced and the loss that has been caused by the quake is being estimated.
Air <e1>pollution</e1> from coal-fired power <e2>plants</e2> is large and varied and contributes to a significant number of negative environmental and health problems.,1,"['pollution', 'plants']",Air pollution from coal-fired power plants is large and varied and contributes to a significant number of negative environmental and health problems.
"Former Safety-Service Director Rex Katterheinrich estimated the city collecting $2.16 million in 2009, who took into account for the economic <e1>slowdown</e1> caused by the national <e2>recession</e2>.",1,"['slowdown', 'recession']","Former Safety-Service Director Rex Katterheinrich estimated the city collecting $2.16 million in 2009, who took into account for the economic slowdown caused by the national recession."
"Dr. Marshall is the discoverer of Helicobacter (H. pylori), the <e1>germ</e1> that causes peptic <e2>ulcer</e2>.",0,"['germ', 'ulcer']","Dr. Marshall is the discoverer of Helicobacter (H. pylori), the germ that causes peptic ulcer."
"The <e1>sadness</e1> from <e2>divorce</e2> meant more if you were aware she was married very briefly to choreographer/director Michael Bennett, who shaped her career, then created the ""Chorus Line"" character around her in 1975.",1,"['sadness', 'divorce']","The sadness from divorce meant more if you were aware she was married very briefly to choreographer/director Michael Bennett, who shaped her career, then created the ""Chorus Line"" character around her in 1975."
NGU (NonGonococcal Urethritis) is an <e1>infection</e1> of the urethra caused by <e2>pathogens</e2> ( germs ) other than gonorrhea.,1,"['infection', 'pathogens']",NGU (NonGonococcal Urethritis) is an infection of the urethra caused by pathogens ( germs ) other than gonorrhea.
The <e1>crash</e1> caused a <e2>gash</e2> on the west side of the Pentagon measuring 30 yards wide and 10 yards deep.,0,"['crash', 'gash']",The crash caused a gash on the west side of the Pentagon measuring 30 yards wide and 10 yards deep.
"A stimulant, <e1>nicotine</e1> causes a temporary <e2>increase</e2> in alertness and a calm feeling.",0,"['nicotine', 'increase']","A stimulant, nicotine causes a temporary increase in alertness and a calm feeling."
He treated the <e1>pain</e1> from <e2>shingles</e2> as it persisted for long periods of time.,1,"['pain', 'shingles']",He treated the pain from shingles as it persisted for long periods of time.
"There are many types and causes of headaches, from <e1>tension</e1> <e2>headaches</e2> due to stress to migraines triggered by certain foods.",0,"['tension', 'headaches']","There are many types and causes of headaches, from tension headaches due to stress to migraines triggered by certain foods."
Patients with adenomyosis experience <e1>pain</e1> from this <e2>disease</e2> in the early 30's.,1,"['pain', 'disease']",Patients with adenomyosis experience pain from this disease in the early 30's.
These <e1>tests</e1> establish baseline <e2>information</e2> on employees and help insure that they are appropriately matched to the physical demands of their jobs.,0,"['tests', 'information']",These tests establish baseline information on employees and help insure that they are appropriately matched to the physical demands of their jobs.
"Because the <e1>disorders</e1> are caused by defective lysosomal <e2>enzymes</e2>, with the result being lysosomal accumulation of pathway intermediates, these are often referred to as lysosomal storage diseases.",1,"['disorders', 'enzymes']","Because the disorders are caused by defective lysosomal enzymes, with the result being lysosomal accumulation of pathway intermediates, these are often referred to as lysosomal storage diseases."
"The current <e1>crisis</e1> was caused by the <e2>housing bubble</e2>, and the primary cause of the housing bubble was the Federal Reserve keeping interest rates at 1 percent.",1,"['crisis', 'housing bubble']","The current crisis was caused by the housing bubble, and the primary cause of the housing bubble was the Federal Reserve keeping interest rates at 1 percent."
Both over-the-counter pain <e1>pills</e1> and prescription drugs cause medication-overuse <e2>headaches</e2>.,0,"['pills', 'headaches']",Both over-the-counter pain pills and prescription drugs cause medication-overuse headaches.
Most <e1>deaths</e1> from the accident were caused by radiation <e2>poisoning</e2>.,1,"['deaths', 'poisoning']",Most deaths from the accident were caused by radiation poisoning.
Bankers were assessing the <e1>loss</e1> caused by the poor <e2>performance</e2> of Gartmore's 340m pounds IPO this week after it needed to be scaled down and its price slashed.,1,"['loss', 'performance']",Bankers were assessing the loss caused by the poor performance of Gartmore's 340m pounds IPO this week after it needed to be scaled down and its price slashed.
GIS revealed a relationship between <e1>cracks</e1> caused by <e2>earthquakes</e2> and paddy fields.,1,"['cracks', 'earthquakes']",GIS revealed a relationship between cracks caused by earthquakes and paddy fields.
Both <e1>bacteria</e1> cause <e2>mortality</e2> in target species via a lethal septicaemia as a result of spore germination.,0,"['bacteria', 'mortality']",Both bacteria cause mortality in target species via a lethal septicaemia as a result of spore germination.
Pancreatitis is an <e1>inflammation</e1> of the pancreas caused by a <e2>malfunction</e2> involving the digestive enzymes that the pancreas makes.,1,"['inflammation', 'malfunction']",Pancreatitis is an inflammation of the pancreas caused by a malfunction involving the digestive enzymes that the pancreas makes.
"The direct <e1>catastrophe</e1> caused by the <e2>earthquake</e2> was estimated at 10.2 billion euro, clearly justifying European intervention.",1,"['catastrophe', 'earthquake']","The direct catastrophe caused by the earthquake was estimated at 10.2 billion euro, clearly justifying European intervention."
"The <e1>damages</e1> caused by the <e2>fires</e2> that immediately broke out and raged for three days, were by far worse than those caused by the earthquake itself.",1,"['damages', 'fires']","The damages caused by the fires that immediately broke out and raged for three days, were by far worse than those caused by the earthquake itself."
He testified that cause of <e1>death</e1> was massive bleeding into the blood sac of the heart caused by a stab <e2>wound</e2> on the left chest.,1,"['death', 'wound']",He testified that cause of death was massive bleeding into the blood sac of the heart caused by a stab wound on the left chest.
"The scale of such landslides on natural slopes can be large enough to devastate entire villages or towns, such as the Huascaran Avalanche triggered by the Peru earthquake (1970, Mw = 7.8), or the complex <e1>slides</e1> caused by the Alaska <e2>earthquake</e2> in 1964 (Ms = 8.4).",1,"['slides', 'earthquake']","The scale of such landslides on natural slopes can be large enough to devastate entire villages or towns, such as the Huascaran Avalanche triggered by the Peru earthquake (1970, Mw = 7.8), or the complex slides caused by the Alaska earthquake in 1964 (Ms = 8.4)."
